class name,description,
Grasshopper Sparrow,"The Grasshopper Sparrow is a small, slender songbird with a streaked brown and tan plumage that provides excellent camouflage in grasslands. It has a distinctive, slightly rounded head with a short, conical bill and a pale, buffy belly. The back features fine streaks and a subtle olive hue. Its wings are short and rounded, and it often perches low in vegetation, emitting a soft, insect-like song that blends with its surroundings.",
Great Blue Heron,"The Great Blue Heron is a large, elegant wading bird with long legs and a long neck. Its plumage is predominantly grayish-blue, with a striking white head and a distinct black crown. The bird features a long, sharp bill, ideal for catching fish and other prey. Its wings are broad and powerful, allowing for graceful flight. Often seen near water, the Great Blue Heron stands poised, showcasing its impressive stature and keen hunting skills.",
Great Egret,"The Great Egret is a tall, striking wading bird known for its all-white plumage and long, slender neck. It features a sharp, yellow bill and long black legs, which help it wade gracefully through shallow waters. During the breeding season, it develops delicate, long plumes on its back, adding to its elegance. The Great Egret's poised stance and impressive size make it a prominent and beautiful presence in wetlands and coastal areas.",
Great Horned Owl,"The Great Horned Owl is a large, powerful raptor known for its prominent tufted ""horns"" and striking yellow eyes. Its plumage is mottled brown and gray, providing excellent camouflage against tree bark. The face is rounded, framed by a white patch, and its beak is short and hooked. With long, powerful wings and a robust body, this owl is a formidable hunter, often found in a variety of habitats, from forests to urban areas.",
Great Tit,"The Great Tit is a small, colorful songbird with a distinctive appearance. It has a bright yellow belly, contrasting with its black cap and throat. The wings and back are olive-green, while the tail is long and pointed. A prominent black line runs down its white cheeks, adding to its striking look. This adaptable bird is often seen in gardens and woodlands, where its cheerful calls and lively behavior make it a favorite among birdwatchers.",
Greater Flamingo,"The Greater Flamingo is a large, elegant wading bird known for its striking pink plumage, which can range from pale to vibrant shades. It has long, thin legs and a long neck, allowing it to wade through shallow waters. The bill is uniquely curved, ideal for filter-feeding. Its wings are broad and display black flight feathers. Often seen in large flocks, the Greater Flamingo’s graceful posture and vibrant colors create a stunning visual display.",
Greater Roadrunner,"The Greater Roadrunner is a large, ground-dwelling bird with a distinctive appearance. It has a long, slender body covered in brown and white streaks, providing excellent camouflage in its desert habitat. The bird features a long tail, a prominent crest on its head, and striking blue and white facial markings. Its long legs enable it to run swiftly, and it has a sharp, curved bill suited for catching insects and small prey.",
Greater Yellowlegs,"The Greater Yellowlegs is a large shorebird with long, slender legs and a long, straight bill. Its plumage is mottled brown and gray on the back, transitioning to a white belly with dark spots. The legs are bright yellow, giving the bird its name. In flight, it reveals white wing stripes and a distinctive, elongated body. Often found in wetlands, the Greater Yellowlegs is recognized for its elegant stature and graceful movements.",
Green Heron,"The Green Heron is a small, stocky wading bird with a striking appearance. It features a dark greenish-black cap and back, complemented by a rich chestnut-brown neck and a white throat. Its underparts are pale, often with streaks. The bird has long legs and a sharp, pointed bill, ideal for catching fish. When in flight, it displays broad wings and a trailing neck, making it a graceful presence near wetlands and shorelines.",
Green-winged Teal,"The Green-winged Teal is a small dabbling duck known for its striking appearance. Males have a distinctive chestnut-red head with a green patch behind the eye and a white vertical stripe on the side. Their body is mottled brown, and they feature a characteristic green wing patch visible in flight. Females are mottled brown and more subdued in color, providing excellent camouflage. Both sexes have a slender body and a short, pointed bill.",
Grey Heron,"The Grey Heron is a large, elegant wading bird with a long neck and legs. Its plumage is predominantly gray, with a striking white head featuring black stripes running from the eyes to the back of the head. The neck is long and slender, often held in an S-shape. It has a sharp, pointed bill ideal for catching fish, and its broad wings allow for graceful flight. Often seen near water, it exudes a dignified presence.",
Grey Parrot,"The Grey Parrot is a medium to large bird known for its striking gray plumage and bright red tail feathers. Its feathers are a uniform, ash-gray, with a slightly paler face and a strong, hooked beak. The eyes are round and yellow, contributing to its expressive appearance. This parrot has a robust body and a strong, curved bill, which it uses adeptly for cracking nuts and seeds. Its intelligence and social nature make it a popular pet.",
Gyrfalcon,"The Gyrfalcon is a large, powerful falcon known for its striking appearance. It displays a range of plumage colors, from pure white to dark gray, often with intricate patterns of spots and bars. The head is broad with a strong, curved beak, and the eyes are dark and piercing. Its long wings and tail enable agile flight, and it possesses strong talons for hunting. Gyrfalcons are often found in arctic and subarctic regions.",
Hairy Woodpecker,"The Hairy Woodpecker is a medium-sized bird with a striking black-and-white pattern. Its back is predominantly black, while the underparts are white with black streaks. It features a distinctive white patch on the back of the head and a long, straight bill. Males have a small red patch on the back of the head. This woodpecker's sturdy body and sharp claws enable it to cling to tree trunks while foraging for insects.",
Harlequin Duck,"The Harlequin Duck is a striking, medium-sized sea duck known for its bold coloration. Males display a stunning combination of slate blue, white, and chestnut with distinct patterns, including white stripes on the head and a rich chestnut breast. Females are more subdued, featuring a mottled brown body with a white patch behind the eye. Both sexes have a compact body and a short, thick neck, often found in fast-flowing coastal waters.",
Harris's Hawk,"Harris's Hawk is a medium to large raptor known for its striking appearance. It has a rich brown body with a distinctive white band on its tail and white markings on the shoulders. The head is dark with a slightly lighter facial pattern. Its long wings and tail are well-adapted for agile flight. Known for its social behavior, this hawk often hunts in groups, showcasing its impressive stature and keen hunting skills.",
Hawaiian Goose (Nēnē),"The Hawaiian Goose, or Nēnē, is a medium-sized bird with a distinctive appearance. It has a brownish-gray body patterned with lighter stripes, and its neck is long and slender, featuring a unique black patch. The Nēnē has a pale face and a somewhat small head. Its legs are relatively short, adapted for walking on volcanic terrains, and it has a gentle demeanor, often seen grazing on grasses and shrubs in its native habitat.",
Heermann's Gull,"Heermann's Gull is a medium-sized gull known for its striking appearance. It features a dark gray body with a contrasting white head and a distinctive dark mantle. The bill is bright red with a black tip, adding to its unique look. Its wings are gray with white tips, and it has a short, stout neck. Often seen near coastal areas, Heermann's Gull is recognized for its graceful flight and elegant demeanor.",
Hermit Thrush,"The Hermit Thrush is a small, slender bird with a warm brown upper body and a spotted, creamy white breast. Its eyes are dark and expressive, framed by a subtle brow. The tail is relatively short, often flicked upward, and the wings are rounded. This thrush has a soft, melodic song, often heard in forests during spring. Its cryptic coloration helps it blend seamlessly into its woodland habitat.",
Herring Gull,"The Herring Gull is a large, robust bird with a distinctive gray mantle and white head. Its wings are long and powerful, featuring black tips with white spots. The underparts are predominantly white, while the bill is strong and yellow with a red spot on the lower mandible. This gull has a stout body and a versatile, adaptable appearance, often seen foraging near coastlines, in urban areas, and around lakes.",
Hoatzin,"The Hoatzin is a unique, medium-sized bird known for its striking appearance. It has a distinctive crest of spiky feathers on its head and a rich chestnut-brown body with a pale blue face and bright red eyes. The wings are long and broad, often displaying white wing patches. Its most unusual feature is its clawed wings in juveniles, which help them climb. The Hoatzin is often found in dense, tropical riverine habitats.",
Hooded Merganser,"The Hooded Merganser is a small, striking duck known for its distinctive crest. Males feature a bold black head with white patches and a chestnut-brown breast, while the body is predominantly white with intricate black patterns. The crest can be raised or lowered, adding to its unique appearance. Females are more subdued, with a brownish body and a smaller, less prominent crest. Both sexes have slender, pointed bills ideal for catching fish and aquatic prey.",
Horned Grebe,"The Horned Grebe is a small, elegant waterbird known for its striking breeding plumage. Males boast a black head with prominent golden ear tufts, a white face, and a rich chestnut-red neck. The body is sleek and dark, with white underparts. In winter, their plumage becomes more subdued, with gray and white tones. This grebe has a sharp, pointed bill and is often seen diving for fish in freshwater lakes and ponds.",
Horned Lark,"The Horned Lark is a small, ground-dwelling songbird characterized by its distinctive black ""horns"" or tufts on either side of its head. Its upperparts are a blend of brown and tan, providing effective camouflage in its grassland habitat. The face features a striking white throat and a black mask. The underparts are pale, and it has a short, notched tail. Horned Larks are often seen foraging on the ground, displaying a cheerful demeanor.",
Horned Puffin,"The Horned Puffin is a striking seabird known for its colorful appearance. It has a black back and white underparts, with a distinctive orange-yellow horn on its forehead during the breeding season. Its bill is large and brightly colored, featuring orange and blue hues. The face is white, contrasting with its dark crown. Horned Puffins are stocky with short wings, and they are often seen nesting on sea cliffs, diving for fish in the ocean.",
House Finch,"The House Finch is a small, adaptable bird with a stout body and a short tail. Males are characterized by their bright red or orange plumage on the head, throat, and chest, contrasting with brown streaks on the back and wings. Females are more subdued, featuring a streaked brown body with a slightly lighter face. Both sexes have a conical bill ideal for seed eating, often seen in urban areas and gardens.",
House Sparrow,"The House Sparrow is a small, plump bird with a stout body and short tail. Males have a distinctive gray crown, black bib, and chestnut-brown nape, while their underparts are pale. Females are more subdued, featuring a warm brown body with streaks and a light brown face. Both sexes have a conical bill suited for seed eating. Commonly found in urban areas, they are social birds often seen in flocks.",
Hummingbird,"Hummingbirds are small, agile birds known for their vibrant plumage and iridescent colors. They have slender bodies, short necks, and long, pointed wings that allow for rapid, hovering flight. Their bills vary in length and shape, adapted for feeding on nectar from flowers. Most species exhibit bright, shimmering feathers, with males often displaying more vivid colors than females. Hummingbirds are often seen darting around gardens and feeders, showcasing their incredible agility and speed.",
Hyacinth Macaw,"The Hyacinth Macaw is the largest flying parrot, renowned for its stunning deep blue plumage. It features a bright yellow patch at the base of its eye and a striking yellow stripe on its lower mandible. Its long, pointed tail is a vibrant blue, complementing its robust body. The beak is large and powerful, ideal for cracking nuts. With its striking colors and graceful presence, the Hyacinth Macaw is a breathtaking sight in the wild.",
Indian Peafowl (Peacock),"The Indian Peafowl, commonly known as the peacock, is a large, stunning bird famous for its iridescent plumage. Males exhibit vibrant blue and green feathers, characterized by an extravagant, fan-like tail adorned with eye-catching ""eyes."" Their neck is long and slender, featuring a rich blue hue. Females, or peahens, are more subdued, with brown and gray plumage. The peacock's striking appearance makes it a symbol of beauty and grace in many cultures.",
Indigo Bunting,"The Indigo Bunting is a small, vibrant songbird known for its striking blue plumage, particularly in males during the breeding season. Their bright blue body contrasts with a black bill and brownish wings. Females and young birds are more subdued, displaying a mix of brown and streaked feathers. This bunting has a short, notched tail and a cheerful demeanor, often seen in open woodlands and along edges, singing melodious tunes.",
Ivory Gull,"The Ivory Gull is a small, elegant seabird known for its pure white plumage, which makes it stand out in its Arctic habitat. It features a short, stout bill with a black tip and dark eyes. The wings are broad and slightly rounded, aiding in graceful flight. In winter, it may show slight grayish tones on the tips of its wings. This gull is often seen near pack ice, where it forages for fish and carrion.",
Jackdaw,"The Jackdaw is a medium-sized bird with a sleek, glossy black plumage that often displays a blue-green sheen in sunlight. It has a distinctive gray nape and pale blue eyes that give it an inquisitive expression. The beak is short and stout, well-suited for foraging. Jackdaws are highly social, often seen in flocks, and are known for their intelligence and adaptability in urban and rural environments. Their lively behavior makes them a familiar sight.",
Jacana,"The Jacana is a striking wading bird known for its long legs and large, elongated toes, which allow it to walk on floating vegetation. It features a bold plumage, with a combination of dark brown or black body, yellow and chestnut markings, and a distinctive blue forehead shield. Females are typically larger and more colorful than males. Jacanas are often seen in wetlands and marshes, gracefully navigating their aquatic habitats.",
Java Sparrow,"The Java Sparrow is a small, stocky bird known for its striking appearance. It features a gray body with a distinctive black crown and a white cheek patch. The underparts are a soft pinkish-brown, and it has a robust, red bill. Its tail is short and square, and its legs are slender. Often seen in flocks, the Java Sparrow is popular in aviculture for its charming demeanor and beautiful coloration.",
Junco,"Juncos are small, sparrow-like birds with a rounded body and short tail. The Dark-eyed Junco, the most common species, features a gray or brown upper body with a white belly and distinctive white outer tail feathers. Males are generally darker than females, which have more subdued colors. Their conical bill is short and stout, ideal for seed eating. Juncos are often seen foraging on the ground, especially in winter, where they gather in flocks.",
Kea,"The Kea is a large, intelligent parrot native to New Zealand, characterized by its vibrant olive-green plumage with bright orange underwings and tail feathers. It has a strong, curved beak that is pale yellow, well-suited for foraging. The head is slightly larger than its body, with a playful, curious expression. Keas are known for their social behavior and are often seen in mountainous regions, where they engage in playful antics and problem-solving.",
Kestrel,"The Kestrel is a small falcon known for its striking appearance. Males have a slate-blue head and wings, with a reddish-brown back and spotted underparts. They feature a distinctive black line through the eye and a pointed tail with a narrow white band. Females are more uniformly brown, with streaked plumage. Both sexes exhibit strong, slender bodies and long wings, allowing for agile flight while hovering to hunt for small prey.",
Killdeer,"The Killdeer is a medium-sized shorebird known for its distinctive appearance. It has a brownish-gray upper body with white underparts and two bold black bands across its chest. The head is white with a black mask and eye stripe, providing a striking contrast. Its long, pointed wings and tail are marked with white and black, enhancing its elegance in flight. Often found in open fields and near water, Killdeers are recognized for their loud calls and erratic behavior when threatened.",
King Eider,"The King Eider is a large, striking sea duck known for its impressive appearance. Males have a distinctive black and white plumage with a vibrant orange-yellow bill and a prominent green nape. Their head features a striking white patch that extends to the back. Females are more subdued, with mottled brown and gray plumage for camouflage. Both sexes have a robust body and a stout neck, often seen in cold Arctic waters.",
King Penguin,"The King Penguin is the second-largest penguin species, known for its striking appearance. It has a sleek, black back and bright orange and yellow markings on its head and neck, creating a stunning contrast with its white belly. The beak is long and orange, complementing its vibrant plumage. King Penguins are tall and slender, with a graceful posture, often seen in large colonies on sub-Antarctic islands, where they display their regal beauty.",
King Rail,"The King Rail is a medium-sized, secretive wading bird known for its striking appearance. It features a long, slender body with a reddish-brown back and grayish underparts, marked with bold black and white stripes. Its long, pointed bill is yellow, ideal for foraging in marshes. The King Rail has long legs and a short tail, often seen moving stealthily through dense vegetation, making it a challenging but rewarding bird to spot in wetland habitats.",
Kingfisher,"Kingfishers are small to medium-sized birds known for their vibrant plumage and striking appearance. They typically have bright blue or green upperparts and orange or white underparts. Their large heads feature a long, pointed bill, perfect for catching fish. The wings are broad and short, and many species have distinctive markings on their faces. Kingfishers are often found near water, where their brilliant colors create a beautiful contrast with their surroundings.",
Kittiwake,"The Kittiwake is a small, elegant gull known for its distinctive appearance. It has a white body with gray wings and a black line running from its eye to the back of its head. The bill is slender and yellow, and the legs are short. During the breeding season, Kittiwakes develop a soft, subtle gray mantle and dark tips on their wings. They are often seen nesting on steep cliffs or near coastal waters.",
Kiwi,"The Kiwi is a unique, flightless bird native to New Zealand, characterized by its small size and distinctive appearance. It has a round body covered in coarse, brownish feathers that resemble fur, providing excellent camouflage. Kiwis have long, slender bills with sensitive nostrils, ideal for foraging insects and worms in the ground. Their short legs are strong but not very long, giving them a distinctive, waddling gait as they move through their forest habitat.",
Knot,"The Knot is a medium-sized shorebird known for its distinctive seasonal plumage. In breeding season, males exhibit striking brick-red underparts and a mottled gray and brown back. Non-breeding adults are more subdued, featuring grayish-brown upperparts and white underparts with fine streaking. Knots have short, stout bodies, a straight bill, and long legs. Often seen in flocks on mudflats or beaches, they are recognized for their graceful, coordinated movements while foraging.",
Lapland Longspur,"The Lapland Longspur is a small, stocky bird with a distinctive appearance. Males in breeding plumage feature a striking black crown, a bright white face, and a rich chestnut-brown back, while their underparts are white with streaks. Females and non-breeding males are more muted, with brown and gray tones. They have a short, notched tail and a conical bill, often seen foraging in open grasslands and tundra during migration.",
Laughing Gull,"The Laughing Gull is a medium-sized gull known for its striking appearance. It has a sleek gray body with a distinctive black head in summer, which turns to a white cap in winter. The wings are gray with white tips, and the bill is long, straight, and black with a red tip. Its legs are slender and dark. Often seen near coastal areas, the Laughing Gull is recognized for its loud, raucous calls and playful behavior.",
Lazuli Bunting,"The Lazuli Bunting is a small, vibrant songbird known for its striking blue plumage. Males display a bright azure blue body with a warm orange-brown chest and white underparts, complemented by white wing bars. Their heads are a rich blue, creating a stunning contrast. Females are more subdued, featuring brown and streaked plumage with slight blue tinges. These bunting are often found in open woodlands and brushy areas, adding color to their habitats.",
Lesser Black-backed Gull,"The Lesser Black-backed Gull is a medium to large gull characterized by its striking appearance. It has a gray back, bright yellow bill, and a distinctive black mantle that contrasts with its white underparts. The head is white with a slight dark eye mask, and its wings feature black tips with white spots. In flight, the gull displays long, slender wings and a powerful build, often seen foraging along coastlines and inland areas.",
Lesser Flamingo,"The Lesser Flamingo is a relatively small wading bird known for its vibrant pink plumage, which can range from pale to bright shades. It has a slender neck and long legs, enabling it to wade through shallow waters. Its bill is uniquely curved and dark at the tip, ideal for filtering food. Lesser Flamingos often gather in large flocks, creating a stunning visual display as they feed in saline lakes and wetlands.",
Lesser Goldfinch,"The Lesser Goldfinch is a small, colorful songbird known for its striking appearance. Males typically have a bright yellow underbody with a black cap and dark wings, featuring white wing bars. Their backs can be either green or black, depending on the region. Females are more subdued, with olive-brown plumage and yellow underparts. These goldfinches have a short, conical bill, making them well-suited for feeding on seeds and flowers.",
Lesser Scaup,"The Lesser Scaup is a medium-sized diving duck known for its distinctive appearance. Males have a striking black head with a greenish sheen, a white body, and a blackish-gray back. Their bill is broad and pale blue with a dark tip. Females are mottled brown with a lighter face and a distinctive white patch behind the eye. Both sexes have a rounded head and a compact body, often seen in freshwater lakes and ponds.",
Lilac-breasted Roller,"The Lilac-breasted Roller is a stunning bird known for its vibrant plumage. It features a striking mix of colors, including bright blue wings, a lilac-colored breast, and greenish-brown back. The head is a rich blue, and its long, tapered tail has distinctive dark tips. This medium-sized roller has a stout body and a short, rounded bill. Often seen perched prominently, it is a favorite among birdwatchers for its beauty and graceful flight.",
Loon,"Loons are large, aquatic birds known for their striking appearance and distinctive calls. They have long, slender bodies with sharply pointed bills and webbed feet, ideal for diving. Breeding adults feature a dramatic black head with red eyes, a black-and-white checkered back, and a white underbelly. In winter, their plumage becomes more subdued, with gray and white tones. Loons are often seen gliding gracefully across northern lakes, captivating observers with their elegance.",
Long-eared Owl,"The Long-eared Owl is a medium-sized owl known for its distinctive ear tufts that resemble ""horns."" Its plumage is mottled brown and gray, providing excellent camouflage against tree bark. The face is pale with dark markings around the eyes, which are bright orange. Long, pointed wings and a rounded body give it a graceful appearance in flight. This nocturnal bird is often found in wooded areas, where it perches silently among the branches.",
Long-tailed Duck,"The Long-tailed Duck is a medium-sized sea duck known for its distinctive plumage and elongated tail feathers. Males in breeding plumage feature a striking combination of black, white, and chestnut colors, with a characteristic long, pointed tail. Females are more subdued, with mottled brown and gray plumage. Both sexes have a rounded head and a short, thick neck. Often seen in coastal waters, these ducks are known for their agile diving skills.",
Long-tailed Jaeger,"The Long-tailed Jaeger is a medium-sized, sleek seabird known for its striking appearance. It features dark grayish-brown plumage with a lighter belly and distinctive long, pointed tail feathers that can be more than half its body length. Breeding adults have a contrasting white patch on the wing and a bold, dark cap on the head. This agile bird is often seen in coastal areas, where it actively hunts for fish and scavenges from other birds.",
Macaroni Penguin,"The Macaroni Penguin is a distinctive, medium-sized penguin known for its striking appearance. It has a black back and white underparts, with a distinctive yellow-orange crest that extends from its forehead to the back of its head. The face features a black line running from the eyes to the beak, adding contrast. Macaroni Penguins have a robust body and a stout bill, often seen in large colonies on sub-Antarctic islands.",
Magellanic Penguin,"The Magellanic Penguin is a medium-sized penguin characterized by its striking black and white plumage. It has a distinctive black cap on its head and a black band that extends from the eyes to the throat. The body is predominantly white with a black back, and it features two thin black bands across the chest. These penguins have a stout body and a short, strong bill, often seen in large colonies along the coasts of South America.",
Magpie,"The Magpie is a medium-sized bird known for its striking black and white plumage. Its body is predominantly black, with a white belly and white wing patches that are especially noticeable in flight. The head is black with a distinctive white stripe running from the eye to the neck. Magpies have long tails and a sharp, pointed bill. Their intelligent and social behavior, along with their bold appearance, makes them a familiar sight in various habitats.",
Mallard,"The Mallard is a large, colorful duck known for its distinctive appearance. Males feature a vibrant green head, white neck ring, and a chestnut-brown breast, complemented by grayish body and blue wing patches bordered by white. Females are mottled brown with an orange bill, providing camouflage. Both sexes have a broad, rounded body and a relatively long neck. Mallards are commonly found in freshwater habitats, often seen dabbling or foraging for food.",
Manx Shearwater,"The Manx Shearwater is a medium-sized seabird known for its streamlined body and long wings. It has a distinctive black upper body and white underparts, with a notable black cap on its head. The wings are long and pointed, ideal for gliding over ocean waves. It features a slender, tapered tail and a pale bill with a dark tip. Often seen in coastal waters, this shearwater is recognized for its graceful flight and social behavior.",
Marbled Godwit,"The Marbled Godwit is a large shorebird known for its striking appearance. It features a long, slightly upturned bill and long legs, ideal for wading. The plumage is a beautiful mix of brown and buff, with intricate marbling, particularly on the back and wings. In breeding season, the underparts become more reddish. Its distinctive, graceful silhouette is often seen foraging in mudflats and coastal areas, making it a favorite among birdwatchers.",
Marsh Harrier,"The Marsh Harrier is a medium-sized raptor known for its distinctive appearance. Males have a brown body with a pale head and a striking cream-colored patch on the wings. Females are larger and more robust, featuring a mottled brown plumage with a distinctive dark cap and streaked underparts. Both sexes have long, slender wings and a short, rounded tail. Often seen gliding over wetlands, Marsh Harriers are skilled hunters, preying on small mammals and birds.",
Masked Booby,"The Masked Booby is a large seabird known for its striking appearance. It features a predominantly white body with a black crown and face, giving it a distinctive ""masked"" look. Its long, pointed wings and tail are also white, while the bill is bright yellow. The eyes are strikingly blue. Often seen nesting on rocky islands, Masked Boobies are agile fliers and skilled divers, hunting for fish in the open ocean.",
Mew Gull,"The Mew Gull is a medium-sized gull characterized by its soft gray mantle and white underparts. It has a rounded head with a subtle dark eye and a short, slender bill that is yellow with a red spot. The wings are gray with black tips. In winter, its plumage becomes more muted, while adults display a striking white head and body in summer. Mew Gulls are often seen near coastal areas and inland waters.",
Moluccan Cockatoo,"The Moluccan Cockatoo is a large, striking bird known for its vibrant appearance. It features a predominantly white body with a soft, peachy-orange wash on the underparts and a dramatic, fan-shaped crest that is bright orange. The bill is strong and curved, suited for cracking nuts. Its eyes are dark and expressive, framed by a delicate eye ring. This intelligent and social bird is often found in the forests of Indonesia, where it thrives in flocks.",
Mourning Dove,"The Mourning Dove is a slender, medium-sized bird recognized for its soft, grayish-brown plumage. It has a long, pointed tail with white edges and a delicate, rounded head. The underparts are lighter, often with faint streaks. Notable features include large, dark eyes and a subtle, soft cooing call. Mourning Doves are often seen foraging on the ground or perched on wires, exhibiting a gentle and graceful demeanor in their habitats.",
Mute Swan,"The Mute Swan is a large, elegant waterbird known for its striking appearance. It has a predominantly white body with a long, curved neck and a distinctive orange bill with a black knob at the base. Its wings are broad and powerful, often displaying white feathers in flight. Mute Swans have black eyes and a graceful, stately posture. Frequently found on lakes and rivers, they are recognized for their beauty and serene presence.",
Nanday Parakeet,"The Nanday Parakeet, also known as the Nanday Conure, is a medium-sized parrot with a striking appearance. It features vibrant green plumage, accented by a distinctive black face and a bright yellow-orange patch on the shoulder. The wings are dark green with blue highlights, and the tail is long and pointed, often showing shades of blue. Known for its playful personality, the Nanday Parakeet is a lively and social bird, often seen in flocks.",
Nashville Warbler,"The Nashville Warbler is a small, energetic songbird known for its striking appearance. It features an olive-green back and a bright yellow underbelly, with a distinctive gray hood that contrasts with its yellow throat. The wings are short and dark, while the tail is slightly notched. Often seen flitting among foliage, this warbler has a lively demeanor and is recognized for its sweet, melodic song, primarily found in deciduous forests during migration.",
Northern Cardinal,"The Northern Cardinal is a striking songbird known for its vibrant red plumage, particularly in males. They have a distinctive crest on their head and a stout, orange-red bill. Females are more subdued, featuring a warm brown body with touches of red on the wings, tail, and crest. Both sexes have a black mask around the face. Cardinals are often seen in gardens and woodlands, where their bright colors add a splash of vibrancy.",
Northern Flicker,"The Northern Flicker is a medium-sized woodpecker known for its distinctive appearance. It has a brown body with black spots and a white rump, and its wings and tail are marked with bright yellow or red, depending on the subspecies. The face features a black crescent on the throat and a prominent mustache stripe. Flickers are often seen foraging on the ground for ants and beetles, showcasing their unique and colorful plumage.",
Northern Gannet,"The Northern Gannet is a large seabird known for its striking appearance. It features a predominantly white body with black wingtips and a distinctive golden-yellow head. The long, pointed wings and slender neck give it a graceful silhouette in flight. Its bill is long and pointed, perfect for catching fish. Northern Gannets often nest in large colonies on coastal cliffs, where their elegant plumage and diving skills make them a captivating sight.",
Northern Harrier,"The Northern Harrier is a medium-sized raptor known for its distinctive appearance. It has a long, slender body with a flat head and large, rounded wings. Males feature gray plumage with a white rump, while females are brown with streaked underparts. Both sexes have bright yellow eyes and a long tail, which is often banded. Harriers are often seen gliding low over fields and marshes, using their keen eyesight to hunt for small mammals and birds.",
Northern Mockingbird,"The Northern Mockingbird is a medium-sized songbird known for its grayish-brown plumage. It has a slender body with long wings and a long tail, often displaying white wing bars and tail feathers in flight. The face features a subtle, pale eye stripe and a light-colored throat. Mockingbirds are renowned for their vocal abilities, often mimicking the songs of other birds. They are commonly found in urban areas, gardens, and open fields.",
Northern Pintail,"The Northern Pintail is a sleek, elegant duck known for its distinctive appearance. Males have a long, pointed tail and a slender neck, featuring a chocolate-brown head, white neck stripe, and gray body. Their wings display striking green speculum feathers. Females are mottled brown with a more rounded body and a shorter tail. Both sexes have a long, narrow bill and are often seen in freshwater ponds and wetlands, where they forage for food.",
Northern Shoveler,"The Northern Shoveler is a distinctive duck known for its striking appearance. Males have a vibrant green head, white chest, and rich chestnut-brown sides, complemented by a unique broad, spatula-shaped bill. Their wings feature a striking blue speculum. Females are mottled brown with a more subdued appearance, showcasing a lighter face and a similar broad bill. Both sexes possess a robust body and are often seen in freshwater habitats, dabbling for food.",
Northern Shrike,"The Northern Shrike is a medium-sized bird known for its distinctive appearance and predatory behavior. It features a gray body with a black mask around the eyes and a white wing patch. Its head is rounded, and it has a stout, hooked bill, ideal for catching prey. The underparts are lighter, often with subtle streaking. Northern Shrikes are commonly found in open areas and woodlands, where they perch prominently while hunting.",
Northwestern Crow,"The Northwestern Crow is a medium-sized bird with a robust, all-black appearance. Its feathers have a subtle sheen, often appearing glossy in sunlight. This crow features a stout, straight bill and dark, expressive eyes. The wings are broad, and the tail is long and squared off. Similar in appearance to the American Crow, it is typically found along the Pacific coast, where it forages for food in varied habitats, including beaches and urban areas.",
Nuthatch,"Nuthatches are small, agile birds known for their distinctive appearance and behavior. They have a compact body with a short tail and a strong, pointed bill. Most species feature a blue or gray back, with a white or cream-colored underbelly. The head is often marked with a black crown and a contrasting white face. Nuthatches are noted for their ability to climb down tree trunks headfirst, showcasing their unique adaptations for foraging.",
Osprey,"The Osprey is a large raptor known for its striking appearance and impressive wingspan. It features a dark brown back, white underparts, and a distinctive white head with a dark eye patch. Its long, powerful wings are adapted for soaring and diving. Ospreys have sharp, curved talons and a strong, hooked bill for catching fish. Often seen near water, they are recognized for their graceful flight and characteristic fishing behavior.",
Ovenbird,"The Ovenbird is a small, round-bodied songbird known for its distinctive appearance. It has a brownish-olive back with darker streaks, and its underparts are pale with fine streaking. A prominent feature is its bold orange crown stripe bordered by black lines. The eyes are large and dark, providing an alert expression. Often found on the forest floor, the Ovenbird is recognized for its unique, oven-shaped nest and melodic song, which echoes through woodlands.",
Painted Bunting,"The Painted Bunting is a small, vibrant songbird renowned for its striking coloration. Males display bright blue heads, a red chest, and greenish-yellow wings and back, creating a stunning palette. Females, in contrast, are more subdued with a brownish-yellow appearance, featuring a hint of blue on the wings. Both sexes have a short, conical bill. Often found in brushy areas and gardens, these buntings are a favorite among birdwatchers for their vivid hues.",
Palm Warbler,"The Palm Warbler is a small, active songbird known for its distinctive appearance. It features olive-brown upperparts and bright yellow underparts, with a streaked chest. A notable characteristic is its yellow eyebrow and a faintly marked face. The tail is often held cocked, which adds to its lively demeanor. Palm Warblers have a slender build and a short, pointed bill, commonly found foraging in open areas, especially during migration.",
Pectoral Sandpiper,"The Pectoral Sandpiper is a medium-sized shorebird known for its distinctive appearance. It has a brownish upper body with streaked feathers, a pale underbelly, and a prominent, contrasting pectoral band on the breast. The bill is medium-length and slightly decurved, suited for probing mud for food. Its legs are long and thin, allowing it to wade through shallow water. Often found in wetlands, it exhibits a graceful and agile foraging style.",
Peregrine Falcon,"The Peregrine Falcon is a medium to large bird of prey known for its striking appearance and incredible speed. It features a blue-gray back, barred chestnut underparts, and a distinctive black cap on its head. The wings are long and pointed, ideal for swift flight, while the sharp, hooked bill is designed for catching prey. With striking yellow eyes and facial markings, this falcon is often seen soaring high or perched on cliffs and skyscrapers.",
Pied-billed Grebe,"The Pied-billed Grebe is a small, compact waterbird known for its distinctive appearance. It has a chunky body with a relatively short neck and a rounded head. The plumage is mostly brown and gray, with a lighter underbelly. A notable feature is its thick, black bill, which has a prominent white band during breeding season. Pied-billed Grebes are often seen diving for fish in freshwater lakes and marshes, displaying a graceful swimming style.",
